,scout,gato_mestre,minimo_para_valorizar,jogos_num,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,media_num,variacao_num,preco_num,entrou_em_campo,slug,apelido,apelido_abreviado,nome,foto
630,{},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",,0,114497,25,1371,2,6,0.0,0.0,0.0,1.0,False,juan-tavares,Juan Tavares,J. Tavares,Juan Pablo Vilela Tavares,https://s.sde.globo.com/media/person_role/2023/06/04/photo_FORMATO_s4c9qYu.png
631,{},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",,0,114893,25,1371,1,6,0.0,0.0,0.0,1.0,False,peruchi,Peruchi,Peruchi,Vinicius Pasquini Peruchi,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_SsVd5Bj.png
632,"{'CA': 1, 'DS': 5, 'FC': 6, 'FD': 1, 'FF': 2, 'FS': 12, 'SG': 2}","{'scouts': {'media': {'SG': 0.25, 'FS': 1.5, 'DS': 0.62, 'FC': 0.75, 'CA': 0.12, 'FF': 0.25, 'FD': 0.12}, 'mandante': {'SG': 1, 'FS': 2, 'DS': 2, 'FC': 3, 'CA': 1, 'FF': 1}, 'visitante': {'SG': 1, 'FS': 10, 'DS': 3, 'FC': 3, 'FF': 1, 'FD': 1}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 47, 'minutos_jogados': 30}",0.61,8,115061,25,285,2,6,0.0,2.75,0.0,2.63,False,thauan-lara,Thauan Lara,T. Lara,Thauan Lara dos Santos,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_QvNiNqZ.png
633,{},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",,0,114790,25,262,3,6,0.0,0.0,0.0,3.0,False,cleiton,Cleiton,Cleiton,Cleiton Santana dos Santos,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_L2MYyBn.png
634,{},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",,0,115227,25,276,5,6,0.0,0.0,0.0,3.0,False,caio,Caio,Caio,Caio Matheus da Silva,https://s.sde.globo.com/media/person_role/2022/04/06/c624743dce9149ef9c0122f7eabd3337_FORMATO.png
635,"{'DS': 1, 'FF': 1, 'FS': 1}","{'scouts': {'media': {'FS': 0.5, 'DS': 0.5, 'FF': 0.5}, 'mandante': {'DS': 1, 'FF': 1}, 'visitante': {'FS': 1}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 23, 'minutos_jogados': 37}",1.66,2,115025,25,277,4,6,0.0,1.25,0.0,1.57,False,miguelito,Miguelito,Miguelito,Miguel ëngel Terceros,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_CgKUL3N.png
636,{},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",,0,115247,25,275,1,6,0.0,0.0,0.0,1.0,False,kaique,Kaique,Kaique,Kaique Pereira Azarias,https://s.sde.globo.com/media/person_role/2022/04/06/42c5ad338bd56af0c7eeb86e91a85304_FORMATO.png
637,{},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",,0,115537,25,265,3,6,0.0,0.0,0.0,4.0,False,marcos-victor,Marcos Victor,M. Victor,Marcos Victor Ferreira da Silva,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_PrZupVH.png
638,{},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",,0,115268,25,282,3,6,0.0,0.0,0.0,1.0,False,romulo,Rìmulo,Rìmulo,Rìmulo Helberte Pereira Junior,https://s.sde.globo.com/media/person_role/2021/12/09/5cad18cd9645fbba0749287a12b4c476_FORMATO.png
639,{},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",,0,115273,25,293,5,6,0.0,0.0,0.0,1.0,False,emersonn,Emersonn,Emersonn,Emersonn Correia da Silva,https://s.sde.globo.com/media/person_role/2021/12/09/ef22051bd5702578dd49c2ea6d4bc4d8_FORMATO.png
640,"{'A': 2, 'CA': 1, 'CV': 1, 'DS': 8, 'FC': 25, 'FD': 13, 'FF': 15, 'FS': 6, 'FT': 1, 'G': 2, 'I': 9}","{'scouts': {'media': {'FS': 0.3, 'A': 0.1, 'FT': 0.05, 'G': 0.1, 'I': 0.45, 'DS': 0.4, 'FC': 1.25, 'CA': 0.05, 'CV': 0.05, 'FF': 0.75, 'FD': 0.65}, 'mandante': {'FS': 3, 'G': 1, 'I': 5, 'DS': 5, 'FC': 15, 'CV': 1, 'FF': 4, 'FD': 9}, 'visitante': {'FS': 3, 'A': 2, 'FT': 1, 'G': 1, 'I': 4, 'DS': 3, 'FC': 10, 'CA': 1, 'FF': 11, 'FD': 4}}, 'media_pontos_mandante': 2.15, 'media_pontos_visitante': 3.53, 'media_minutos_jogados': 51, 'minutos_jogados': 48}",0.8,20,115915,25,266,5,6,-0.1,2.84,-0.3,8.72,True,lele,Lelà,Lelà,Leanderson da Silva GenÇsio,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_JNinp65.png
641,"{'CA': 2, 'DS': 5, 'FC': 10, 'FF': 3, 'FS': 3}","{'scouts': {'media': {'FS': 0.38, 'DS': 0.62, 'FC': 1.25, 'CA': 0.25, 'FF': 0.38}, 'mandante': {'FS': 1, 'DS': 2, 'FC': 4, 'CA': 1, 'FF': 2}, 'visitante': {'FS': 2, 'DS': 3, 'FC': 6, 'CA': 1, 'FF': 1}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 45, 'minutos_jogados': 24}",0.97,8,115671,25,284,4,5,0.0,0.61,0.0,1.0,False,mila,Mila,Mila,Lucas Eduardo MÅller - Milla,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_GjZARIK.png
642,"{'A': 1, 'CA': 3, 'DS': 19, 'FC': 20, 'FD': 3, 'FF': 3, 'FS': 9, 'I': 1}","{'scouts': {'media': {'FS': 0.56, 'A': 0.06, 'I': 0.06, 'DS': 1.19, 'FC': 1.25, 'CA': 0.19, 'FF': 0.19, 'FD': 0.19}, 'mandante': {'FS': 3, 'DS': 4, 'FC': 5, 'CA': 2, 'FD': 1}, 'visitante': {'FS': 6, 'A': 1, 'I': 1, 'DS': 15, 'FC': 15, 'CA': 1, 'FF': 3, 'FD': 2}}, 'media_pontos_mandante': 0.6666666666666665, 'media_pontos_visitante': 2.52, 'media_minutos_jogados': 56, 'minutos_jogados': 102}",5.33,15,115248,25,275,4,6,6.5,2.02,1.0,2.49,True,jhon-jhon,Jhon Jhon,J. Jhon,Jhonatan dos Santos Rosa,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_cdZiLf8.png
643,"{'CA': 2, 'FC': 2, 'PC': 1}","{'scouts': {'media': {'FC': 0.67, 'CA': 0.67, 'PC': 0.33}, 'mandante': {'FC': 2, 'CA': 1, 'PC': 1}, 'visitante': {'CA': 1}}, 'media_pontos_mandante': -1.3, 'media_pontos_visitante': -1, 'media_minutos_jogados': 53, 'minutos_jogados': 9}",0.2,2,115733,25,267,3,6,0.0,-1.8,0.0,1.14,False,ze-vitor,ZÇ Vitor,Z. Vitor,JosÇ Vitor Geminiano Cavalieri,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_E9RklP7.png
644,{},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",,0,115870,25,280,2,6,0.0,0.0,0.0,1.0,False,jonathan,Jonathan,Jonathan,Jonathan da Cruz Silva,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO_7Zk5L8m.png
645,{},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",,0,115674,25,282,1,6,0.0,0.0,0.0,2.0,False,gabriel-delfim,Gabriel Delfim,G. Delfim,Gabriel Delfim Ferreira,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_R1TAAd6.png
646,"{'CA': 2, 'DS': 5, 'FC': 27, 'FD': 3, 'FF': 9, 'FS': 15, 'FT': 1, 'G': 5, 'I': 1, 'PP': 1, 'PS': 1}","{'scouts': {'media': {'FS': 0.79, 'FT': 0.05, 'G': 0.26, 'I': 0.05, 'DS': 0.26, 'FC': 1.42, 'CA': 0.11, 'PP': 0.05, 'FF': 0.47, 'FD': 0.16, 'PS': 0.05}, 'mandante': {'FS': 4, 'G': 1, 'DS': 2, 'FC': 13, 'FF': 2, 'FD': 1}, 'visitante': {'FS': 11, 'FT': 1, 'G': 4, 'I': 1, 'DS': 3, 'FC': 14, 'CA': 2, 'PP': 1, 'FF': 7, 'FD': 2, 'PS': 1}}, 'media_pontos_mandante': 1.614285714285714, 'media_pontos_visitante': 3.5666666666666664, 'media_minutos_jogados': 38, 'minutos_jogados': 77}",8.27,19,115959,25,275,5,2,9.6,2.85,1.01,8.09,True,endrick,Endrick,Endrick,Endrick Felipe Moreira de Sousa,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_6tQjxwx.png
647,{},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",,0,115734,25,267,3,6,0.0,0.0,0.0,2.0,False,pimentel,Pimentel,Pimentel,Eric Lima Pimentel,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_bs3vmzt.png
648,{},"{'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None}",,0,115914,25,262,4,6,0.0,0.0,0.0,1.0,False,evertton-araujo,Evertton Ara£jo,E. Ara£jo,Everton Gustavo Fernandes Ara£jo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_TQMbzmd.png
649,"{'A': 1, 'CA': 6, 'DS': 28, 'FC': 25, 'FD': 6, 'FF': 8, 'FS': 22, 'G': 1}","{'scouts': {'media': {'FS': 1.16, 'A': 0.05, 'G': 0.05, 'DS': 1.47, 'FC': 1.32, 'CA': 0.32, 'FF': 0.42, 'FD': 0.32}, 'mandante': {'FS': 8, 'G': 1, 'DS': 15, 'FC': 7, 'CA': 1, 'FF': 3, 'FD': 3}, 'visitante': {'FS': 14, 'A': 1, 'DS': 13, 'FC': 18, 'CA': 5, 'FF': 5, 'FD': 3}}, 'media_pontos_mandante': 3.6555555555555554, 'media_pontos_visitante': 2.48, 'media_minutos_jogados': 66, 'minutos_jogados': 83}",1.47,19,115986,25,1371,4,6,0.0,3.03,0.0,4.46,False,denilson,Denilson,Denilson,Denilson Alves Borges,https://s.sde.globo.com/media/person_role/2022/10/15/photo_FORMATO_sqKxYTo.png
650,"{'DS': 3, 'FC': 1}","{'scouts': {'media': {'DS': 1.5, 'FC': 0.5}, 'mandante': {'DS': 1, 'FC': 1}, 'visitante': {'DS': 2}}, 'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 34, 'minutos_jogados': 34}",2.09,2,115998,25,327,5,5,0.0,1.65,0.0,2.43,False,adyson,Adyson,Adyson,Adyson do Nascimento Soares,https://s.sde.globo.com/media/person_role/2022/02/25/816e31c3a9501bc4cafc2ef28de0e625_FORMATO.png
651,"{'A': 1, 'CA': 1, 'DS': 8, 'FC': 7, 'FF': 1, 'FS': 6}","{'scouts': {'media': {'FS': 1.5, 'A': 0.25, 'DS': 2, 'FC': 1.75, 'CA': 0.25, 'FF': 0.25}, 'mandante': {'FS': 4, 'A': 1, 'DS': 5, 'FC': 3, 'FF': 1}, 'visitante': {'FS': 2, 'DS': 3, 'FC': 4, 'CA': 1}}, 'media_pontos_mandante': 6.45, 'media_pontos_visitante': 1.2, 'media_minutos_jogados': 70, 'minutos_jogados': 96}",2.01,4,115997,25,327,4,6,0.0,3.82,0.0,1.63,False,mateus-henrique,Mateus Henrique,M. Henrique,Mateus Henrique Alves Silva,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_9xPLICS.png
