,nome,slug,apelido,foto,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,clube.id.full.name,A,CA,FC,FD,FF,FS,FT,G,I,PE,RB,SG,CV,DD,GS,PP,GC,DP
617,Luis Eduardo Marques Dos Santos,dudu,Dudu,https://s.glbimg.com/es/sde/f/2018/04/09/cb32c36884710a73aa2671bf0998c170_FORMATO.png,97133,38,INT,2,6,0,4.07,0,4.5,Internacional,,,3.0,,,1.0,,,,,,2.0,,,,,,
618,Wesley Dias Claudino,wesley-dias,Wesley Dias,https://s.glbimg.com/es/sde/f/2018/03/21/bd01b16a7f9c3c1d4858cc8ada530b69_FORMATO.png,97154,38,PAR,4,7,6.1,2.13,1.34,1.3,Paran†,,2.0,22.0,1.0,2.0,16.0,,,1.0,30.0,23.0,,,,,,,
619,Murilo Cerqueira Paim,murilo,Murilo,https://s.glbimg.com/es/sde/f/2018/05/07/e153f69f7bac5d6410218a2a59787c11_FORMATO.png,97653,38,CRU,3,5,0,6.28,0,1.67,Cruzeiro,,2.0,12.0,2.0,2.0,1.0,1.0,,,15.0,8.0,2.0,,,,,,
620,Tom†s Gustavo Andrade,tomas-andrade,Tom†s Andrade,https://s.glbimg.com/es/sde/f/2018/05/07/efc79595752a6acffda52ff4455cbc32_FORMATO.png,97619,38,ATL,4,6,0,6.09,0,3.98,AtlÇtico-MG,2.0,1.0,7.0,7.0,5.0,6.0,1.0,3.0,,31.0,20.0,,,,,,,
621,Roger Iba§ez da Silva,ibanez,Iba§ez,https://s.glbimg.com/es/sde/f/2018/09/20/69ed2b738cbaf148777b6d868df813c9_FORMATO.png,97803,38,FLU,3,5,0,4.46,0,2.64,Fluminense,,3.0,9.0,2.0,3.0,10.0,,,,31.0,18.0,4.0,,,,,,
622,Jhemerson GuimarÑes Gaigher,jhemerson,Jhemerson,https://s.glbimg.com/es/sde/f/2018/03/21/4352f97cb92d8c89a85442b0da6b66fb_FORMATO.png,97863,38,VIT,4,6,0,3.0,0,0,Vit¢ria,,,,,,,,,,,,,,,,,,
623,Erick de Arruda Serafim,erick,Erick,https://s.glbimg.com/es/sde/f/2018/06/28/c1426d2e4418dfcc0731f1ddf753c5bf_FORMATO.png,97810,38,VIT,5,6,0,6.75,#CAMPO!,4.45,Vit¢ria,2.0,3.0,12.0,14.0,14.0,40.0,1.0,2.0,3.0,55.0,25.0,,,,,,,
624,Arthur Gomes Lourenáo,arthur-gomes,Arthur Gomes,https://s.glbimg.com/es/sde/f/2018/05/23/5475c0938368ee4b155ff28fbba435d6_FORMATO.png,96966,38,SAN,5,7,3,2.79,0.63,0.78,Santos,1.0,1.0,11.0,1.0,4.0,14.0,,,,11.0,3.0,,,,,,,
625,Lucas de Souza Ventura,nonoca,Nonoca,https://s.glbimg.com/es/sde/f/2018/04/09/f994b05e8cd6aee16ab81f7cc4871c16_FORMATO.png,97856,38,SPO,4,6,0,3.06,0,2.43,Sport,,,2.0,,,4.0,,,,6.0,7.0,,,,,,,
626,Iago Amaral Borduchi,iago,Iago,https://s.glbimg.com/es/sde/f/2018/04/09/733606405d1966bcc1ea11b6d2790ec5_FORMATO.png,97868,38,INT,2,6,0,11.63,0,4.53,Internacional,1.0,7.0,45.0,3.0,8.0,15.0,,,5.0,91.0,82.0,15.0,,,,,,
