,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
150,Felipe Pires,100289,356,https://s.glbimg.com/es/sde/f/2019/09/03/b7686024a3026262d6596e5a0c2805a9_FORMATO.png,5,3.78,Felipe Augusto Rodrigues Pires,0.0,5,5.63,20,"{'A': 1, 'FC': 3, 'FD': 1, 'FF': 3, 'FS': 8, 'G': 1, 'I': 1, 'PE': 9, 'RB': 2}",felipe-pires,7,0.0
151,Lucas Venuto,100290,277,https://s.glbimg.com/es/sde/f/2019/08/06/c53c03c082f9bf77d4e9b53fe6561a14_FORMATO.png,2,0.0,Lucas Henrique Ferreira Venuto,0.0,5,2.16,20,"{'FC': 1, 'FF': 1, 'PE': 1}",lucas-venuto,6,-0.16
152,Rafael Barbosa,105396,290,https://s.glbimg.com/es/sde/f/2019/03/26/277c76b8820a7ddb5193448964e883e4_FORMATO.png,0,0.0,Rafael Barbosa dos Santos,0.0,4,1.0,20,{},rafael-barbosa,6,0.0
153,Felipe Mosquete,105397,290,https://s.glbimg.com/es/sde/f/2019/03/26/6b0ace75db697f11e8d9bd5d9c4e920e_FORMATO.png,0,0.0,Felipe Dias Fonte Mosquete,0.0,1,1.0,20,{},felipe-mosquete,6,0.0
154,Riquelme,105566,267,https://s.glbimg.com/es/sde/f/2019/04/24/c9b8a5031b03ccf71b246635ffe126ed_FORMATO.png,0,0.0,Riquelme Carvalho Ara£jo Viana,0.0,2,1.0,20,{},riquelme,6,0.0
155,Lucas Piton,105584,264,https://s.glbimg.com/es/sde/f/2019/04/28/5ed7e99f209f90f0aaa290e985138e59_FORMATO.png,0,0.0,Lucas Piton Crivellaro,0.0,2,1.0,20,{},lucas-piton,6,0.0
156,Alexander,105553,267,https://s.glbimg.com/es/sde/f/2019/04/24/158fd65567dd79616ea41fcf9f0bd470_FORMATO.png,2,6.0,Alexander Silva de Lucena,0.0,1,9.79,20,"{'DD': 8, 'GS': 6}",alexander,6,0.0
157,JoÑo Pedro,104026,266,https://s.glbimg.com/es/sde/f/2019/09/16/6dccbad5af54dd327dc276d14e93a0b4_FORMATO.png,14,4.96,JoÑo Pedro Junqueira de Jesus,5.6,5,6.51,20,"{'A': 1, 'CA': 1, 'FC': 14, 'FD': 15, 'FF': 12, 'FS': 14, 'G': 4, 'I': 5, 'PE': 19, 'RB': 10}",joao-pedro,7,0.43
158,Veron,103764,275,https://s.glbimg.com/es/sde/f/2018/11/30/c499e5770419f38b55930e24444f025e_FORMATO.png,0,0.0,Gabriel Veron Fonseca de Souza,0.0,5,1.0,20,{},veron,6,0.0
159,Roni,105585,264,https://s.glbimg.com/es/sde/f/2019/04/30/4d83ae2a6fb83ce19a30e77021066844_FORMATO.png,0,0.0,Roni Medeiros de Moura,0.0,4,2.0,20,{},roni,6,0.0
160,Gabriel Fornari,105636,293,https://s.glbimg.com/es/sde/f/2019/05/19/7cabec74a311c35c7c5daf6981bea68f_FORMATO.png,0,0.0,Gabriel Henrique Chavoni Fornari,0.0,3,1.0,20,{},gabriel-fornari,6,0.0
