,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,gato_mestre,slug,apelido,apelido_abreviado,nome,foto
160,"{'A': 8, 'CA': 5, 'DS': 37, 'FC': 44, 'FD': 8, 'FF': 13, 'FS': 42, 'G': 7, 'I': 2, 'PI': 238}",99815,35,266,4,7,0.0,8.71,0.0,4.8,29,7.45,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",arias,Arias,Arias,Jhon Adolfo Arias Andrade,https://s.sde.globo.com/media/person_role/2022/04/20/d97a4c4cc239d983ba72d755e77a671d_FORMATO.png
161,"{'A': 2, 'CA': 4, 'DS': 34, 'FC': 22, 'FD': 5, 'FF': 13, 'FS': 46, 'FT': 3, 'G': 2, 'I': 2, 'PI': 209, 'SG': 9}",73384,35,266,2,7,0.0,9.21,0.0,4.43,29,7.01,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",samuel-xavier,Samuel Xavier,S. Xavier,Samuel Xavier Brito,https://s.glbimg.com/es/sde/f/2022/04/20/ad95f595cd71bcb7d7b91177716e1d33_FORMATO.png
162,"{'DS': 1, 'PI': 2}",109426,35,280,2,6,0.0,3.08,0.0,1.0,1,2.38,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",weverson,Weverson,Weverson,Weverson Moreira da Costa,https://s.glbimg.com/es/sde/f/2022/05/05/73de6346549a47db6b8bf37e5f4f06fa_FORMATO.png
163,"{'CA': 2, 'DS': 2, 'FC': 7, 'FD': 2, 'FF': 2, 'FS': 6, 'G': 1, 'I': 3, 'PI': 13, 'PS': 1}",109639,35,280,5,6,0.0,2.94,0.26,1.15,11,0.45,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",gabriel-novaes,Gabriel Novaes,G. Novaes,Gabriel Novaes Fernandes,https://s.glbimg.com/es/sde/f/2022/05/05/f9a266e73e23a467f58f96fac79380bc_FORMATO.png
164,"{'A': 1, 'CA': 1, 'DS': 12, 'FC': 6, 'FF': 2, 'FS': 17, 'PI': 49, 'SG': 4}",104276,35,266,2,5,0.0,9.54,0.0,4.18,10,10.51,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",calegari,Calegari,Calegari,Lucas Felipe Calegari,https://s.glbimg.com/es/sde/f/2022/04/20/af7df060c7d357b2bbd0f6602c974e33_FORMATO.png
165,"{'A': 1, 'CA': 2, 'DS': 25, 'FC': 19, 'FD': 8, 'FF': 6, 'FS': 28, 'G': 2, 'I': 1, 'PI': 120}",111333,35,280,5,6,0.2,5.05,-0.28,2.15,28,0.92,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",sorriso,Sorriso,Sorriso,Marcos Vinicios Moura,https://s.glbimg.com/es/sde/f/2022/05/05/7924434ef39a0546d8ad7fa23ca14168_FORMATO.png
166,"{'CA': 1, 'DE': 66, 'DS': 1, 'FS': 2, 'GS': 27, 'SG': 2}",91101,35,373,1,5,0.0,4.93,0.0,2.78,18,0.47,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",ronaldo,Ronaldo,Ronaldo,Ronaldo de Oliveira Strada,https://s.glbimg.com/es/sde/f/2022/03/03/cb6155829f59a86db540d1bc5bd52fa7_FORMATO.png
167,"{'A': 2, 'CA': 1, 'DS': 8, 'FC': 5, 'FD': 1, 'FF': 1, 'FS': 4, 'I': 1, 'PC': 1, 'PI': 53, 'SG': 2}",110715,35,280,2,6,0.0,3.64,0.0,1.76,14,1.55,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",andres-hurtado,AndrÇs Hurtado,A. Hurtado,JosÇ AndrÇs Hurtado Cheme,https://s.glbimg.com/es/sde/f/2022/05/05/495e0cd517eacede744f14fefa06d6d5_FORMATO.png
168,"{'CA': 2, 'DE': 65, 'FS': 3, 'GS': 22, 'SG': 2}",60795,35,373,1,7,0.0,4.0,0.0,3.5,15,0.46,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",renan,Renan,Renan,Renan dos Santos,https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png
169,"{'A': 1, 'CA': 8, 'CV': 1, 'DS': 67, 'FC': 41, 'FD': 8, 'FF': 23, 'FS': 57, 'FT': 4, 'G': 4, 'PI': 112}",82455,35,275,4,3,4.8,13.61,0.06,5.04,30,5.78,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",ze-rafael,ZÇ Rafael,Z. Rafael,JosÇ Rafael Vivian,https://s.sde.globo.com/media/person_role/2022/02/21/a9bb4a6cb2ff8e2f533bf41f37dd93dc_FORMATO.png
170,"{'CA': 2, 'CV': 3, 'DS': 12, 'FC': 11, 'FD': 1, 'FF': 4, 'FS': 2, 'G': 1, 'PI': 43, 'SG': 3}",50317,35,266,3,6,0.0,6.53,0.0,2.21,11,11.55,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",david-braz,David Braz,D. Braz,David Braz de Oliveira Filho,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png
171,"{'CA': 1, 'DS': 17, 'FC': 4, 'FF': 2, 'FS': 8, 'PI': 35, 'SG': 2}",38750,35,262,2,6,0.0,6.48,0.0,3.37,9,5.94,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",filipe-luis,Filipe Lu°s,F. Lu°s,Filipe Lu°s Kasmirski,https://s.sde.globo.com/media/person_role/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png
172,"{'A': 4, 'CA': 5, 'DS': 30, 'FC': 24, 'FD': 3, 'FF': 6, 'FS': 42, 'FT': 2, 'G': 5, 'PI': 203, 'PS': 1}",62977,35,266,4,7,0.0,6.99,0.0,3.33,30,1.22,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",ganso,Ganso,Ganso,Paulo Henrique Chagas de Lima,https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png
173,"{'CV': 1, 'DS': 30, 'FC': 13, 'FF': 1, 'FS': 10, 'PI': 90, 'SG': 2}",86629,35,373,2,6,0.0,4.0,0.0,1.63,22,5.19,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",arthur-henrique,Arthur Henrique,A. Henrique,Arthur Henrique Peixoto Santos,https://s.glbimg.com/es/sde/f/2022/03/03/ac8a8dbf454accfda9793bed640e7799_FORMATO.png
174,"{'A': 1, 'CA': 1, 'DS': 35, 'FC': 11, 'FD': 4, 'FF': 6, 'FS': 12, 'I': 2, 'PI': 152, 'SG': 2}",97133,35,373,2,2,1.2,6.58,-0.88,2.79,19,2.0,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",dudu,Dudu,Dudu,Lu°s Eduardo Marques dos Santos,https://s.glbimg.com/es/sde/f/2022/03/03/b0bce50f61a2478463da6058f9be7677_FORMATO.png
175,"{'A': 2, 'CA': 4, 'DS': 28, 'FC': 33, 'FD': 2, 'FF': 11, 'FS': 21, 'G': 1, 'PI': 212, 'SG': 4}",95220,35,373,2,7,1.7,4.15,-0.09,1.95,30,1.93,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",jefferson,Jefferson,Jefferson,Jefferson Junio Antìnio da Silva,https://s.glbimg.com/es/sde/f/2022/03/03/80467cde6b46e7d96a9fc9fa200520fa_FORMATO.png
176,"{'A': 1, 'CA': 3, 'CV': 2, 'DS': 21, 'FC': 19, 'FF': 12, 'FS': 22, 'G': 4, 'PC': 1, 'PI': 109, 'SG': 9}",69014,35,266,3,7,0.0,8.22,0.0,3.73,27,6.6,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",manoel,Manoel,Manoel,Manoel Messias Silva Carvalho,https://s.glbimg.com/es/sde/f/2022/04/20/2ee72152c5a2da89ec05cb252df58e2b_FORMATO.png
177,"{'CA': 4, 'DS': 13, 'FC': 9, 'FD': 1, 'FF': 5, 'FS': 4, 'PI': 70, 'PP': 1, 'SG': 3}",38394,35,293,3,7,1.7,5.9,0.47,1.82,11,2.28,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",thiago-heleno,Thiago Heleno,T. Heleno,Thiago Heleno Henrique Ferreira,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png
178,"{'CA': 2, 'DS': 11, 'FC': 19, 'FD': 1, 'FF': 5, 'FS': 5, 'I': 1, 'PI': 61, 'SG': 3}",86143,35,373,3,7,-0.4,2.21,-0.33,0.89,25,-0.01,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",wanderson,Wanderson,Wanderson,Wanderson Santos Pereira,https://s.glbimg.com/es/sde/f/2022/03/03/e4318c57015f1d5169d4e83fc7af4813_FORMATO.png
179,"{'A': 2, 'CA': 11, 'DS': 62, 'FC': 39, 'FD': 8, 'FF': 18, 'FS': 15, 'FT': 2, 'G': 4, 'PC': 1, 'PI': 95}",99440,35,373,4,7,7.5,8.63,-0.51,4.32,28,7.32,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",baralhas,Baralhas,Baralhas,Gabriel Baralhas dos Santos,https://s.glbimg.com/es/sde/f/2022/03/03/23016221adbd611a74993ecdc84843f5_FORMATO.png
